,certainty,precision,recall,f1
L,0.008333333333333333,0.9048560261726379,0.8223735690116882,0.9024646282196045
ol,0.002145922746781116,0.8782690763473511,0.894829511642456,0.8864719271659851
 well,0.0030864197530864196,0.9243779182434082,0.9055363535881042,0.9208672046661377
 the,0.005319148936170213,0.9300038814544678,0.9269337058067322,0.928466260433197
 fans,0.00021263023601956197,0.9020059108734131,0.914570152759552,0.9082446098327637
 in,0.005154639175257732,0.9411400556564331,0.9340862035751343,0.9375998377799988
 Phill,0.0016722408026755853,0.9544641375541687,0.9544641375541687,0.9544641375541687
i,0.0011918951132300357,0.9640859961509705,0.9632941484451294,0.9636899828910828
 are,0.0005238344683080147,0.9524102807044983,0.9563268423080444,0.954364538192749
 infamous,0.0017035775127768314,0.9654039144515991,0.9672883749008179,0.9663452506065369
 so,0.05,0.9639018774032593,0.9634044170379639,0.9636530876159668
 I,0.010309278350515464,0.9821653366088867,0.9838870763778687,0.9830254316329956
'm,0.023809523809523808,0.9750182628631592,0.974819540977478,0.9749189019203186
 not,0.012195121951219513,0.9694267511367798,0.9672099351882935,0.9683170914649963
 surprised,0.013157894736842105,0.962785542011261,0.9648934006690979,0.9638383388519287
 there,0.034482758620689655,0.9853566884994507,0.980481743812561,0.9852690696716309
 was,0.1111111111111111,0.9946296811103821,0.9946296811103821,0.9946296811103821
 an,0.008771929824561403,0.9891678094863892,0.9891678094863892,0.9891678094863892
 actual,0.0018248175182481751,0.982595682144165,0.9787964820861816,0.9806923866271973
 court,0.0006009615384615385,0.9847404360771179,0.982873797416687,0.9841174483299255
 inside,0.0014285714285714286,0.9802767634391785,0.9797725081443787,0.9800245761871338
 the,0.008403361344537815,0.9920674562454224,0.9865546226501465,0.9893033504486084
 stadium,0.001004016064257028,0.986701488494873,0.9889291524887085,0.9878140687942505
